# Wellenlänge [nm]	Energieeffizienz V
390	4.07678E-04
395	1.07817E-03
400	2.58977E-03
405	5.47421E-03
410	1.04130E-02
415	1.71297E-02
420	2.57613E-02
425	3.52955E-02
430	4.69823E-02
435	6.04743E-02
440	7.46829E-02
445	8.82054E-02
450	1.03903E-01
455	1.19539E-01
460	1.41459E-01
465	1.70137E-01
470	1.99986E-01
475	2.31243E-01
480	2.68227E-01
485	3.10944E-01
490	3.55402E-01
495	4.14823E-01
500	4.78048E-01
505	5.49134E-01
510	6.24830E-01
515	7.01229E-01
520	7.78820E-01
525	8.37636E-01
530	8.82955E-01
535	9.23386E-01
540	9.66532E-01
545	9.88689E-01
550	9.90750E-01
555	9.99778E-01
560	9.94430E-01
565	9.84813E-01
570	9.64055E-01
575	9.28649E-01
580	8.77536E-01
585	8.37084E-01
590	7.86995E-01
595	7.27231E-01
600	6.62904E-01
605	5.97037E-01
610	5.28230E-01
615	4.60131E-01
620	3.95076E-01
625	3.35179E-01
630	2.75181E-01
635	2.21956E-01
640	1.77688E-01
645	1.41020E-01
650	1.08400E-01
655	8.13769E-02
660	6.03398E-02
665	4.42538E-02
670	3.21185E-02
675	2.30257E-02
680	1.62884E-02
685	1.13611E-02
690	7.79746E-03
695	5.42539E-03
700	3.77614E-03
705	2.61937E-03
710	1.79560E-03
715	1.22998E-03
720	8.49990E-04
725	5.88138E-04
730	4.09893E-04
735	2.86072E-04
740	1.99495E-04
745	1.40847E-04
750	9.93144E-05
755	7.04188E-05
760	5.01893E-05
765	3.58222E-05
770	2.57308E-05
775	1.84535E-05
780	1.33795E-05
785	9.71580E-06
790	7.07442E-06
795	5.16095E-06
800	3.78873E-06
805	2.79463E-06
810	2.05715E-06
815	1.52311E-06
820	1.13576E-06
825	8.47617E-07
830	6.34538E-07
