#zeit : 	zahl d. Durchgänge :	drehung in grad : error fehlt noch
	
		
15.56	0	0
15.58	0	0
15.6	0	0
15.62	0	0
15.64	0	0
15.66	0	0
15.68	0	0
15.7	0	0
15.72	0	0
15.74	0	0
15.76	0	0
15.78	0	0
15.8	0	0
15.82	0	0
15.84	0	0
15.86	0	0
15.88	0	0
15.9	0	0
15.92	0	0
15.94	0	0
15.96	0	0
15.98	0	0
16	0	0
16.02	0	0
16.04	0	0
16.06	0	0
16.08	0	0
16.1	0	0
16.12	0	0
16.14	0	0
16.16	0	0
16.18	0	0
16.2	0	0
16.22	0	0
16.24	0	0
16.26	0	0
16.28	0	0
16.3	0	0
16.32	0	0
16.34	0	0
16.36	0	0
16.38	0	0
16.4	0	0
16.42	0	0
16.44	0	0
16.46	0	0
16.48	0	0
16.5	0	0
16.52	0	0
16.54	0	0
16.56	0	0
16.58	0	0
16.6	0	0
16.62	0	0
16.64	0	0
16.66	0	0
16.68	0	0
16.7	0	0
16.72	0	0
16.74	0	0
16.76	0	0
16.78	0	0
16.8	0	0
16.82	0	0
16.84	0	0
16.86	0	0
16.88	0	0
16.9	0	0
16.92	0	0
16.94	0	0
16.96	0	0
16.98	0	0
17	0	0
17.02	0	0
17.04	0	0
17.061	0	0
17.08	0	0
17.1	0	0
17.12	0	0
17.14	0	0
17.16	0	0
17.18	0	0
17.2	0	0
17.22	0	0
17.24	0	0
17.261	0	0
17.28	0	0
17.3	0	0
17.32	0	0
17.34	0	0
17.36	0	0
17.38	0	0
17.4	0	0
17.42	0	0
17.44	0	0
17.46	0	0
17.48	0	0
17.5	0	0
17.52	0	0
17.54	0	0
17.56	0	0
17.58	0	0
17.6	0	0
17.62	1	10
17.64	1	10
17.66	1	10
17.68	2	20
17.7	2	20
17.72	2	20
17.74	3	30
17.76	3	30
17.78	3	30
17.8	4	40
17.82	4	40
17.84	4	40
17.861	4	40
17.88	4	40
17.9	4	40
17.92	4	40
17.94	4	40
17.961	4	40
17.98	4	40
18	4	40
18.02	4	40
18.04	4	40
18.06	4	40
18.08	4	40
18.1	4	40
18.12	4	40
18.14	4	40
18.16	5	50
18.18	5	50
18.2	5	50
18.22	5	50
18.24	5	50
18.261	6	60
18.28	6	60
18.3	6	60
18.32	7	70
18.34	7	70
18.361	7	70
18.39	8	80
18.405	8	80
18.422	8	80
18.44	8	80
18.461	9	90
18.48	9	90
18.5	9	90
18.52	10	100
18.54	10	100
18.561	10	100
18.58	10	100
18.6	10	100
18.62	11	110
18.64	11	110
18.661	11	110
18.68	11	110
18.7	12	120
18.72	12	120
18.74	12	120
18.761	13	130
18.78	13	130
18.8	13	130
18.82	14	140
18.84	14	140
18.86	14	140
18.88	14	140
18.9	15	150
18.92	15	150
18.94	15	150
18.96	15	150
18.98	15	150
19	16	160
19.02	16	160
19.04	16	160
19.06	16	160
19.08	16	160
19.1	16	160
19.12	16	160
19.14	17	170
19.16	17	170
19.18	17	170
19.2	17	170
19.22	17	170
19.24	17	170
19.26	17	170
19.28	17	170
19.3	17	170
19.32	17	170
19.34	17	170
19.36	17	170
19.38	17	170
19.4	17	170
19.42	17	170
19.44	17	170
19.46	18	180
19.48	18	180
19.5	18	180
19.52	18	180
19.54	18	180
19.56	18	180
19.58	18	180
19.6	18	180
19.62	18	180
19.64	18	180
19.661	18	180
19.68	18	180
19.7	18	180
19.72	18	180
19.74	18	180
19.76	18	180
19.78	18	180
19.8	18	180
19.82	18	180
19.84	18	180
19.86	18	180
19.88	18	180
19.9	18	180
